__quarterly__,cpi,diff4_cpi,diff_cpi,obs_diff_cpi,obs_rs,obs_y_gap,rrs,rrs_gap,rs,shk_diff_cpi,shk_rs,shk_y_gap,y_gap
2000-Q1,517.558460116574,2.1330079102075388,2.495046365865619,,,,,,5.52,,,,1.3848149530358569
2000-Q2,518.1970798490383,2.3107088317517537,2.554478929857396,,,,,,5.713333333,,,,2.375460251334175
2000-Q3,518.9060380611087,2.5417917389652303,2.8358328482813704,,,,,,6.016666667,,,,1.6898515650407262
2000-Q4,519.4622130209272,2.5275144958195597,2.2246998392738533,,,,,,6.016666667,,,,1.52336234364941
2001-Q1,520.254041097085,2.695580980510954,3.1673123046311957,,,,,,4.816666667,,,,0.462719287109735
2001-Q2,520.893955539682,2.696875690643651,2.559657770388185,,,,,,3.66,,,,0.3654895553861479
2001-Q3,521.6022123821207,2.696174321011995,2.8330273697547455,,,,,,3.17,,,,-0.7374467161354232
2001-Q4,522.2335845705232,2.771371549596097,2.5254887536102615,,,,,,1.906666667,,,,-1.1519022004413273
2002-Q1,522.7537184308098,2.4996773337248896,2.080535441146367,,,,,,1.72,,,,-1.0121283134504893
2002-Q2,523.2177564043492,2.3238008646671915,1.8561518941573922,,,,,,1.713333333,,,,-1.0805450473324072
2002-Q3,523.6973736306985,2.095161248577824,1.918468905397276,,,,,,1.643333333,,,,-1.3595528796628287
2002-Q4,524.1041298904798,1.870545319956591,1.6270250391253285,,,,,,1.333333333,,,,-1.9124248982833478
2003-Q1,524.4740765820484,1.7203581512385426,1.4797867662741737,,,,,,1.156666667,,,,-2.0833690212714373
2003-Q2,524.737488798584,1.5197323942347793,1.053648866142339,,,,,,1.04,,,,-1.8831706219717717
2003-Q3,525.1924326803745,1.4950590496760015,1.8197755271621645,,,,,,0.93,,,,-0.9207815327788467
2003-Q4,525.6105517564874,1.5064218660075994,1.6724763044517204,,,,,,0.916666667,,,,-0.46316767341750165
2004-Q1,526.113457542032,1.6393809599836686,2.0116231421784505,,,,,,0.916666667,,,,-0.5776928432602517
2004-Q2,526.8029965437788,2.06550774519485,2.7581560069870648,,,,,,1.076666667,,,,-0.4803976010683755
2004-Q3,527.2486606513514,2.05622797097692,1.7826564302904444,,,,,,1.486666667,,,,-0.2108757973583124
2004-Q4,527.8794699889221,2.2689182324346575,2.5232373502826704,,,,,,2.006666667,,,,0.15376881880263227
2005-Q1,528.4556451466975,2.342187604665469,2.3047006311016958,,,,,,2.536666667,,,,0.6256149178087753
2005-Q2,528.9949116709453,2.191915127166453,2.1570660969910023,,,,,,2.863333333,,,,0.5014717249781597
2005-Q3,529.3304824724493,2.081821821097833,1.3422832060159635,,,,,,3.36,,,,0.7014689364966671
2005-Q4,529.9816242671773,2.1021542782551705,2.6045671789120206,,,,,,3.826666667,,,,0.7156039470576161
2006-Q1,530.6285536197214,2.172908473023881,2.5877174101765377,,,,,,4.393333333,,,,1.5363552164557177
2006-Q2,531.3534332517047,2.3585215807594295,2.8995185279331963,,,,,,4.703333333,,,,1.298491688458057
2006-Q3,532.0404963175067,2.7100138450574605,2.7482522632080872,,,,,,4.906666667,,,,1.002953304619382
2006-Q4,532.5770393491491,2.5954150819718507,2.1461721265695815,,,,,,4.903333333,,,,1.4352068736894807
2007-Q1,533.2615728534092,2.6330192336878326,2.7381340170404656,,,,,,4.983333333,,,,1.3584907118220144
2007-Q2,533.8419101583694,2.488476906664687,2.321349219840613,,,,,,4.736666667,,,,1.6622191113460758
2007-Q3,534.4539155740572,2.413419256550469,2.4480216627512164,,,,,,4.303333333,,,,1.9655755998903714
2007-Q4,535.2170880774063,2.6400487282571703,3.0526900133963863,,,,,,3.39,,,,2.309044693719102
2008-Q1,535.9569242423036,2.6953513888943235,2.959344659589078,,,,,,2.043333333,,,,1.665336074028687
2008-Q2,536.5711182293209,2.729208070951472,2.4567759480692075,,,,,,1.626666667,,,,2.0240449470783233
2008-Q3,537.4339695472427,2.980053973185477,3.4514052716872357,,,,,,1.493333333,,,,1.300869558502768
2008-Q4,537.8104656836099,2.593377606203603,1.5059845454688912,,,,,,0.296666667,,,,-1.091924951267174
2009-Q1,538.1605571125036,2.2036328702000674,1.4003657155749352,,,,,,0.213333333,,,,-2.4491404955613234
2009-Q2,538.520276322748,1.9491580934271724,1.4388768409776276,,,,,,0.173333333,,,,-2.8101190536361855
2009-Q3,538.7289320350301,1.2949624877874157,0.834622849128209,,,,,,0.156666667,,,,-2.6536824951429026
2009-Q4,539.1816817062027,1.3712160225927619,1.8109986846902757,,,,,,0.056666667,,,,-1.8140008295185908
2010-Q1,539.2671028580514,1.1065457455478054,0.3416846073951092,,,,,,0.106666667,,,,-1.5584653860772733
2010-Q2,539.4145593960707,0.8942830733226401,0.5898261520769665,,,,,,0.146666667,,,,-0.8610815290892333
2010-Q3,539.6452340589017,0.9163020238715944,0.9226986513240263,,,,,,0.156666667,,,,-0.37974439321612863
2010-Q4,539.9528284521814,0.77114674597874,1.230377573118858,,,,,,0.136666667,,,,-0.17372340126644303
2011-Q1,540.5457298105938,1.2786269525423677,2.37160543364962,,,,,,0.126666667,,,,-0.7505473840690229
2011-Q2,541.1518067326083,1.7372473365376209,2.4243076880579792,,,,,,0.046666667,,,,-0.4336749989535065
2011-Q3,541.9138744874133,2.268640428511617,3.04827101922001,,,,,,0.023333333,,,,-0.85402760224747
2011-Q4,542.4704759654857,2.5176475133042686,2.226405912289465,,,,,,0.013333333,,,,-0.1420037279093549
2012-Q1,542.9880573565354,2.4423275459415663,2.0703255641988108,,,,,,0.066666667,,,,0.2487394091878059
