__quarterly__,GDPC,TB3M,CPI
,Real Gross Domestic Product,"3-Month Treasury Bill Secondary Market Rate, Discount Basis",Consumer Price Index for All Urban Consumers: All Items Less Energy in U.S. City Average
1959-Q4,3205.79,4.23,30.2
1960-Q1,3277.847,3.873333333,30.23333333
1960-Q2,3260.177,2.993333333,30.4
1960-Q3,3276.133,2.36,30.4
1960-Q4,3234.087,2.306666667,30.6
1961-Q1,3255.914,2.35,30.63333333
1961-Q2,3311.181,2.303333333,30.66666667
1961-Q3,3374.742,2.303333333,30.76666667
1961-Q4,3440.924,2.46,30.8
1962-Q1,3502.298,2.723333333,30.96666667
1962-Q2,3533.947,2.716666667,31.1
1962-Q3,3577.362,2.84,31.2
1962-Q4,3589.128,2.813333333,31.26666667
1963-Q1,3628.306,2.906666667,31.33333333
1963-Q2,3669.02,2.94,31.43333333
1963-Q3,3749.681,3.293333333,31.6
1963-Q4,3774.264,3.496666667,31.73333333
1964-Q1,3853.835,3.53,31.86666667
1964-Q2,3895.793,3.476666667,31.9
1964-Q3,3956.657,3.496666667,31.96666667
1964-Q4,3968.878,3.683333333,32.16666667
1965-Q1,4064.915,3.89,32.23333333
1965-Q2,4116.267,3.873333333,32.43333333
1965-Q3,4207.782,3.866666667,32.53333333
1965-Q4,4304.731,4.166666667,32.7
1966-Q1,4409.518,4.61,33
1966-Q2,4424.581,4.586666667,33.36666667
1966-Q3,4462.053,5.043333333,33.66666667
1966-Q4,4498.66,5.21,33.9
1967-Q1,4538.498,4.513333333,34.03333333
1967-Q2,4541.28,3.66,34.23333333
1967-Q3,4584.246,4.3,34.56666667
1967-Q4,4618.812,4.753333333,34.9
1968-Q1,4713.013,5.05,35.33333333
1968-Q2,4791.758,5.52,35.7
1968-Q3,4828.892,5.196666667,36.13333333
1968-Q4,4847.885,5.586666667,36.6
1969-Q1,4923.76,6.093333333,37.06666667
1969-Q2,4938.728,6.196666667,37.7
1969-Q3,4971.349,7.023333333,38.23333333
1969-Q4,4947.104,7.353333333,38.83333333
1970-Q1,4939.759,7.21,39.5
1970-Q2,4946.77,6.676666667,40.06666667
1970-Q3,4992.357,6.326666667,40.5
1970-Q4,4938.857,5.353333333,41.03333333
1971-Q1,5072.996,3.84,41.4
1971-Q2,5100.447,4.25,41.9
1971-Q3,5142.422,5.01,42.2
1971-Q4,5154.547,4.23,42.46666667
1972-Q1,5249.337,3.436666667,42.9
1972-Q2,5368.485,3.77,43.2
1972-Q3,5419.184,4.22,43.56666667
1972-Q4,5509.926,4.863333333,43.93333333
1973-Q1,5646.286,5.7,44.6
1973-Q2,5707.755,6.603333333,45.6
1973-Q3,5677.738,8.323333333,46.5
1973-Q4,5731.632,7.5,47.46666667
1974-Q1,5682.353,7.616666667,48.56666667
1974-Q2,5695.859,8.153333333,49.73333333
1974-Q3,5642.025,8.19,51.16666667
1974-Q4,5620.126,7.36,52.8
1975-Q1,5551.713,5.75,53.9
1975-Q2,5591.382,5.393333333,54.53333333
1975-Q3,5687.087,6.33,55.53333333
1975-Q4,5763.665,5.626666667,56.56666667
1976-Q1,5893.276,4.916666667,57.2
1976-Q2,5936.515,5.156666667,57.66666667
1976-Q3,5969.089,5.15,58.66666667
1976-Q4,6012.356,4.673333333,59.46666667
1977-Q1,6083.391,4.63,60.4
1977-Q2,6201.659,4.84,61.46666667
1977-Q3,6313.559,5.496666667,62.4
1977-Q4,6313.697,6.11,63.23333333
1978-Q1,6333.848,6.393333333,64.43333333
1978-Q2,6578.605,6.476666667,65.96666667
1978-Q3,6644.754,7.313333333,67.5
1978-Q4,6734.069,8.57,68.93333333
1979-Q1,6746.176,9.383333333,70.7
1979-Q2,6753.389,9.376666667,72.43333333
1979-Q3,6803.558,9.673333333,74.13333333
1979-Q4,6820.572,11.84333333,76.2
1980-Q1,6842.024,13.35333333,78.7
1980-Q2,6701.046,9.616666667,81.13333333
1980-Q3,6693.082,9.153333333,82.66666667
1980-Q4,6817.903,13.61333333,85.2
1981-Q1,6951.495,14.39,87.06666667
1981-Q2,6899.98,14.90666667,88.73333333
1981-Q3,6982.609,15.05333333,91.46666667
1981-Q4,6906.529,11.75,93
1982-Q1,6799.233,12.81333333,94.16666667
1982-Q2,6830.251,12.42,95.7
1982-Q3,6804.139,9.316666667,97.2
1982-Q4,6806.857,7.906666667,97.53333333
1983-Q1,6896.561,8.106666667,98.06666667
1983-Q2,7053.5,8.396666667,99.06666667
1983-Q3,7194.504,9.14,100.0666667
1983-Q4,7344.597,8.8,101.2
1984-Q1,7488.167,9.17,102.7666667
1984-Q2,7617.547,9.796666667,103.8333333
1984-Q3,7690.985,10.32,105
1984-Q4,7754.117,8.803333333,105.9666667
1985-Q1,7829.26,8.183333333,107.0666667
1985-Q2,7898.194,7.46,108
1985-Q3,8018.809,7.106666667,108.8
1985-Q4,8078.415,7.166666667,110.0333333
1986-Q1,8153.829,6.896666667,111.1333333
1986-Q2,8190.552,6.14,112.0333333
1986-Q3,8268.935,5.523333333,113.2
1986-Q4,8313.338,5.353333333,114.3666667
1987-Q1,8375.274,5.536666667,115.4333333
1987-Q2,8465.63,5.656666667,116.7333333
1987-Q3,8539.075,6.043333333,117.8
1987-Q4,8685.694,5.863333333,119.0666667
1988-Q1,8730.569,5.723333333,120.1
1988-Q2,8845.28,6.21,121.5333333
1988-Q3,8897.107,7.01,123.1
1988-Q4,9015.661,7.726666667,124.5333333
1989-Q1,9107.314,8.54,125.9333333
1989-Q2,9176.827,8.41,127.4333333
1989-Q3,9244.816,7.843333333,128.7333333
1989-Q4,9263.033,7.653333333,130.3
1990-Q1,9364.259,7.76,132.2
1990-Q2,9398.243,7.746666667,133.7666667
1990-Q3,9404.494,7.476666667,135.7333333
1990-Q4,9318.876,6.99,137.2333333
1991-Q1,9275.276,6.023333333,139
1991-Q2,9347.597,5.56,140.3333333
1991-Q3,9394.834,5.376666667,141.5
1991-Q4,9427.581,4.54,142.6666667
